"","","","","",""
"Plant","Bauer","","","",""
"Time","PV(W)","SOC(%)","Battery(W)","Grid (W)","Load(W)"
"10.09.2025 07:40:00","503.2","64","-539.64","1","0"
"10.09.2025 07:45:00","637.08","64","-841.12","11","0"
"10.09.2025 07:50:00","744.85","65","-963.84","5","0"
"10.09.2025 07:55:00","841.76","66","-1025.78","6","0"
"10.09.2025 08:00:00","1016.79","66","-692.99","40","283.8"
"10.09.2025 08:05:00","1092.89","67","-784.94","7","300.95"
"10.09.2025 08:10:00","1274.84","67","-1028.5","17","229.34"
"10.09.2025 08:15:00","1221.07","68","-1060.85","14","146.22"
"10.09.2025 08:20:00","1276.92","69","-1123.32","16","137.6"
"10.09.2025 08:25:00","1344.9","70","-1215.2","9","120.7"
"10.09.2025 08:30:00","1411.21","71","-1185.6","3","222.61"
"10.09.2025 08:35:00","1222.33","72","-1033.6","5","183.73"
"10.09.2025 08:40:00","1680.78","73","-1705.76","18","0"
"10.09.2025 08:45:00","1554.75","74","-1645.92","1","0"
"10.09.2025 08:50:00","1507.26","75","-1675.3","8","0"
"10.09.2025 08:55:00","1692.49","77","-1829.4","12","0"
"10.09.2025 09:00:00","1668.46","78","-1920.87","1","0"
"10.09.2025 09:05:00","1796.23","80","-2166.21","19","0"
"10.09.2025 09:10:00","1917.16","82","-2350.04","8","0"
"10.09.2025 09:15:00","2127.66","83","-2751.3","18","0"
"10.09.2025 09:20:00","1919.89","86","-2446.4","-6","0"
"10.09.2025 09:25:00","2433.77","88","-2753.1","467","0"
"10.09.2025 09:30:00","2345.94","90","-1528","1772","0"
"10.09.2025 09:35:00","1954.12","91","-1523","1147","0"
"10.09.2025 09:40:00","1865.44","92","-1523","969","0"
"10.09.2025 09:45:00","2065.73","93","-1524.5","1344","0"
"10.09.2025 09:50:00","2000.7","94","-1526","1211","0"
"10.09.2025 09:55:00","1997.07","95","-1527.5","1278","0"
"10.09.2025 10:00:00","1796.93","96","-1529.5","908","0"
"10.09.2025 10:05:00","1614.03","98","-1533.5","625","0"
"10.09.2025 10:10:00","1673.24","99","-1541","719","0"
"10.09.2025 10:15:00","1614.03","100","0","1025","589.03"
"10.09.2025 10:20:00","1511.38","100","0","900","611.38"
"10.09.2025 10:25:00","2086.81","100","0","1909","177.81"
"10.09.2025 10:30:00","2342.84","100","30.69","2364","9.53"
"10.09.2025 10:35:00","2325.61","100","0","2311","14.61"
"10.09.2025 10:40:00","2069.62","100","0","2826","0"
"10.09.2025 10:45:00","2089.08","100","30.52","1890","229.6"
"10.09.2025 10:50:00","1932.29","100","0","2734","0"
"10.09.2025 10:55:00","2135.07","100","0","2057","78.07"
"10.09.2025 11:00:00","2104.94","100","0","2067","37.94"
"10.09.2025 11:05:00","2126.06","100","0","2990","0"
"10.09.2025 11:10:00","2261.99","100","30.34","2278","14.33"
"10.09.2025 11:15:00","2346.11","100","30.31","516","1860.42"
"10.09.2025 11:20:00","2325.2","99","0","434","1891.2"
"10.09.2025 11:25:00","1960.61","99","0","-193","2153.61"
"10.09.2025 11:30:00","2136.55","99","0","3163","0"
"10.09.2025 11:35:00","1943.66","99","30.23","930","1043.89"
"10.09.2025 11:40:00","2066.4","99","0","1930","136.4"
"10.09.2025 11:45:00","2170.66","99","30.2","3088","0"
"10.09.2025 11:50:00","1662.59","99","30.19","2169","0"
"10.09.2025 11:55:00","1699.16","99","0","2157","0"
